2021-11-30 10:22:23 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-11-30 10:22:23 [main] [<init>] [44] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-11-30 10:22:23 [pool-2-thread-36] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 36 with 69 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-16] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 16 with 422 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-15] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 15 with 523 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-38] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 38 with 453 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-18] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 18 with 339 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-19] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 19 with 259 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-9] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 9 with 661 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 14 with 358 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-8] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 8 with 295 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-1] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 1 with 768 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 321 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-12] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 12 with 477 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 252 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-13] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 13 with 486 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 7 with 419 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-6] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 6 with 464 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 223 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-22] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 22 with 177 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-28] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 28 with 824 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-37] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 37 with 152 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-25] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 25 with 327 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-35] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 35 with 274 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-20] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 20 with 348 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-4] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 4 with 627 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-23] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 23 with 53 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-29] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 29 with 355 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-3] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 3 with 89 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-32] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 32 with 230 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 946 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-27] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 27 with 281 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-31] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 31 with 360 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-10] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 10 with 104 containers is in queue. Ship status - unloading required.
