2021-12-02 18:15:57 [main] [<init>] [44] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@169e6180
2021-12-02 18:15:57 [Timer-0] [run] [122] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-02 18:15:57 [pool-2-thread-6] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 6 with 694 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 92 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-3] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 3 with 469 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-9] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 9 with 30 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 28 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-16] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 16 with 90 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 161 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-1] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 1 with 486 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 604 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-25] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 25 with 218 containers is in queue. Ship status - loading required.
2021-12-02 18:15:57 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 77 containers is in queue. Ship status - unloading required.
2021-12-02 18:15:57 [pool-2-thread-7] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 7 with 466 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 18:15:57 [pool-2-thread-18] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 18 with 238 containers is in queue. Ship status - loading required.
