2021-12-02 20:52:57 [main] [<init>] [47] INFO  by.epam.task5.entity.Port - Create port by.epam.task5.entity.Port@47987356
2021-12-02 20:52:57 [Timer-0] [run] [129] INFO  by.epam.task5.entity.Port - Number of containers in port = 600
2021-12-02 20:52:57 [pool-2-thread-18] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 18 with 104 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-19] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 19 with 761 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-21] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 21 with 149 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-14] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 14 with 339 containers is in queue. Ship status - loading required.
2021-12-02 20:52:57 [pool-2-thread-2] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 2 with 425 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-18] [run] [83] INFO  by.epam.task5.entity.Ship - Ship 18 is in processing
2021-12-02 20:52:57 [pool-2-thread-5] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 5 with 129 containers is in queue. Ship status - loading required.
2021-12-02 20:52:57 [pool-2-thread-26] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 26 with 739 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-8] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 8 with 674 containers is in queue. Ship status is - unloading and loading required.
2021-12-02 20:52:57 [pool-2-thread-24] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 24 with 156 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-12] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 12 with 109 containers is in queue. Ship status - unloading required.
2021-12-02 20:52:57 [pool-2-thread-27] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 27 with 814 containers is in queue. Ship status is - unloading and loading required.
